period,haz_treated,haz_control,period_length_days,hr,hr_lo,hr_up,S_treated,S_control,delta_rmst_period_days
66,0.0025977688713767,0.007348084404906614,30,0.35353008052575774,0.3525531117623322,0.3546793668497958,0.7484477975394981,0.5621454667923212,5.522712582635143
67,0.0026032608827659186,0.007364997260903677,30,0.35346393088087874,0.35249814727904694,0.354600013763377,0.7464993926653711,0.5580052669691664,5.589069922415305
68,0.002676222514462312,0.007569488452157506,30,0.35355394639640636,0.35255355085945955,0.3547459428259479,0.7445015941836877,0.5537814525446002,5.654823770886141
69,0.002617581777889481,0.007404630983687232,30,0.3535060401600219,0.3524253972146093,0.3547698173856528,0.7425528003771428,0.5496809052428971,5.721604249172624
70,0.0026473259957923933,0.007487980534024863,30,0.3535433864662345,0.35244848269444135,0.35482393931231865,0.7405870210454559,0.5455649053245132,5.786156854027369
71,0.002700221631693519,0.007636446761984862,30,0.35359660269427173,0.3524786074757184,0.3548830634160845,0.7385872719510775,0.5413987279697953,5.850663471628282
72,0.002729292331763959,0.007716849618035321,30,0.35367960590876796,0.35251207886640545,0.355046368456251,0.736571451373403,0.5372208354026567,5.915656319438468
73,0.002793467733400007,0.007896711427287352,30,0.3537507681675039,0.3525550177072163,0.3551522635025221,0.7345138627906477,0.5329785574927558,5.980518479122386
74,0.002847808612854778,0.008047973198790477,30,0.35385413724821707,0.3525822126113555,0.3553379811374325,0.7324221078859312,0.5286891603465241,6.046059158936757
75,0.002891316620789,0.008169839093097118,30,0.3539012932619369,0.3526079080388493,0.3554132374938718,0.7303044436719673,0.5243698549762285,6.111988426182212
76,0.002892171279453919,0.00817038037651824,30,0.35398245200016026,0.35258538361777053,0.3555720127977573,0.7281922781347216,0.520085553803093,6.1780376608721665
77,0.0029821290630385943,0.0084217456883652,30,0.3540986837394606,0.3526468528912587,0.35574214508918334,0.7260207147786157,0.5157055255327707,6.2432017299488605
78,0.0030529960283240125,0.008619440143373439,30,0.3541988780641551,0.3527135530775881,0.3558933852901375,0.7238041764199157,0.511260432623834,6.30945567737535
79,0.00304883198414583,0.00860743663699265,30,0.3542090534878524,0.3526297077733714,0.35596635984090297,0.7215974190965883,0.506859790845023,6.376312313882449
