period,hazard_rt,hazard_chemo,hr,period_bin
33,0.005701920878197299,0.004687479878904924,0.8220878505748229,25-36
34,0.005628380776403308,0.004651390784371919,0.826417218229554,25-36
35,0.0056362317622079446,0.004664079722856697,0.8275173767924662,25-36
36,0.00560592909347164,0.004655518990302596,0.8304634098430107,25-36
37,0.005060509028573592,0.002861584222888187,0.5654735930181283,37-60
38,0.005141757705727907,0.002908438661803444,0.565650664278375,37-60
39,0.00519524436645528,0.002940892215776658,0.5660738953427192,37-60
40,0.005255804715779536,0.0029765453905217266,0.5663348528885074,37-60
41,0.005309145753074581,0.0030048911738015556,0.5659839291587336,37-60
42,0.005333108319871763,0.0030265226960501652,0.5674969482192965,37-60
43,0.0052261820696683885,0.0029458466333337884,0.5636708775285183,37-60
44,0.0053078772287348894,0.002961112900188782,0.5578713999182967,37-60
45,0.005365777720926788,0.00298640995679343,0.5565660957490447,37-60
46,0.0053931622992883085,0.003007783057637831,0.5577030489208055,37-60
47,0.0054476624811423385,0.0030384027606046066,0.557744311642353,37-60
48,0.005512659590196894,0.003079374591118594,0.5586005340497742,37-60
49,0.005587402843878467,0.0031222555470764696,0.5588026556018237,37-60
50,0.005671222160459045,0.0031627213007762683,0.557678964302867,37-60
51,0.005749285545941561,0.003210746138854676,0.5584600231103762,37-60
52,0.005832308366186756,0.0032533738912052467,0.5578192521621328,37-60
53,0.00591827893837535,0.003297712482805749,0.55720801894326,37-60
54,0.0059540164008685965,0.0033273128726452783,0.5588350196952558,37-60
55,0.005774839727710587,0.0032724650526061434,0.5666763420122657,37-60
56,0.005824606288437109,0.003303390589181026,0.5671440137917734,37-60
57,0.0058842204932742885,0.0033368220467674303,0.5670797092973393,37-60
58,0.005913940257741443,0.003288864808707129,0.5561207359851077,37-60
59,0.005990924339152311,0.003335213373399589,0.5567109822441034,37-60
60,0.00604354230065784,0.003380806063917426,0.5594080252486071,37-60
61,0.0057001888767913315,0.0024752304846895603,0.4342365732419171,60+
62,0.005745967892901511,0.0024687815864081965,0.4296546086618575,60+
63,0.005838263403392065,0.002510673783991777,0.4300377715971261,60+
64,0.005708732904523309,0.0024747518803186147,0.43350283183817334,60+
65,0.005931384064631605,0.0025652202745076983,0.4324825785273142,60+
66,0.00594609466087006,0.0025977688713767,0.4368865649704578,60+
67,0.00594374969585206,0.0026032608827659186,0.4379829259268178,60+
68,0.00608139308008388,0.002676222514462312,0.4400673462839865,60+
69,0.00589433480704999,0.002617581777889481,0.4440843392130849,60+
70,0.00597237937902835,0.0026473259957923933,0.4432615257309873,60+
