period,hazard_rt,hazard_chemo,hr,period_bin
87,0.007350049451557506,0.003176455166441261,0.43216786327446505,60+
88,0.007512296406032183,0.003243776432997304,0.43179558655228706,60+
89,0.007726963202171182,0.00336179635682427,0.43507342650210196,60+
90,0.0076854101449032,0.0033731563120610497,0.4389038774069924,60+
91,0.007793448849975727,0.0034250601247695594,0.4394793872009857,60+
92,0.007976229085635576,0.0035111461628574933,0.44020126868982873,60+
93,0.007839760152945572,0.0035441097384706385,0.4520686435973475,60+
94,0.007900946284297472,0.003581191236526865,0.45326105350750323,60+
95,0.006842826065654391,0.00330890400219258,0.4835581045674502,60+
96,0.006840794062751434,0.0034027134252227545,0.49741497756097486,60+
97,0.006894168944041468,0.003414994525927356,0.49534534962025945,60+
98,0.006897487023798863,0.0034252262740333554,0.4965904629055578,60+
99,0.00709575382602412,0.0035109834480590986,0.4948006278321477,60+
100,0.0072430044120171564,0.003567813492542995,0.49258750783355787,60+
101,0.007343991519417959,0.003612109847822658,0.49184559081693113,60+
102,0.007452010955137254,0.003658701117100127,0.49096829555489285,60+
103,0.007366838032094755,0.0036836311213889494,0.5000287919105385,60+
104,0.007462349685652417,0.003725470911063152,0.49923563863885617,60+
105,0.007033889873290524,0.003593336406827449,0.5108604870929618,60+
106,0.007261100757101259,0.0037346045332181496,0.5143303554307185,60+
107,0.007521076425355509,0.0038831880531553886,0.516307484931831,60+
108,0.007705572937608984,0.003952737124041284,0.5129712165527572,60+
109,0.007082039448231282,0.0036433738637032765,0.5144526361842278,60+
110,0.006949134032356655,0.003641339601340599,0.5239990456919873,60+
111,0.007094707774408758,0.0036725265570881757,0.5176431043904733,60+
112,0.007612830413242828,0.0038532536747308403,0.5061525694868952,60+
113,0.0076708130031290615,0.0038827532760786535,0.5061723280824092,60+
114,0.007833877144522685,0.0039573128639765415,0.505153807108582,60+
115,0.008053106395595087,0.004143519025444878,0.5145243117253875,60+
116,0.00788338155207723,0.004178423582176196,0.5300293477581588,60+
117,0.008521956739583638,0.004726013834213074,0.5545690947081685,60+
118,0.008858218921606585,0.004849653117361949,0.5474749676295405,60+
119,0.008925572896238725,0.004886724842699908,0.5474970513947844,60+
120,0.007467432757758294,0.0033641103343108477,0.4505042687951496,60+
121,0.008050474488700637,0.0035750931706644133,0.44408477732365814,60+
122,0.007647478203119725,0.0035773585963921,0.4677827777178556,60+
123,0.007865732720560684,0.003710527751068422,0.47173326159039997,60+
124,0.008196560048428433,0.003838844923625239,0.4683482950095973,60+
125,0.00847016189180892,0.003934473683166063,0.46450985629576924,60+
126,0.00874189190806024,0.004074874463616614,0.4661318747100361,60+
127,0.008108918327727936,0.00420323304727779,0.5183469455975526,60+
128,0.008134363326342245,0.003853651470166463,0.47374961205468097,60+
129,0.008773316667408427,0.0041192864825205415,0.46952442715570514,60+
130,0.00884008294800019,0.004150910231506118,0.4695555749785289,60+
131,0.009523356784295743,0.004311501670998806,0.4527291971365161,60+
132,0.009595776017629436,0.004344591126934688,0.4527607896383544,60+
133,0.010155752210929878,0.004669054459132292,0.45974481871538153,60+
134,0.010232925527687203,0.0047048800364271545,0.4597785866512144,60+
135,0.010310676023635154,0.004740978841913676,0.45981260889644227,60+
136,0.010389007875470124,0.004777352933856836,0.4598468873179722,60+
137,0.008449404020206075,0.0047426621863344105,0.5613013858720346,60+
138,0.008325942925279932,0.0051013875963456575,0.6127098926965249,60+
139,0.008389595862030625,0.005140520656439145,0.6127256593734098,60+
140,0.009675495041287153,0.005867001587272095,0.6063774062450032,60+
141,0.009749434004062925,0.005911993352759609,0.606393494257808,60+
142,0.009823932252038684,0.005957327857823374,0.6064097048905337,60+
143,0.009898993927608927,0.006003007678255398,0.6064260390657101,60+
144,0.00973288826461473,0.004865925330948748,0.49994669605316405,60+
145,0.00980725142629353,0.004903287631083435,0.49996552733802424,60+
146,0.0098821768627704,0.004940935280667249,0.4999845023297925,60+
147,0.007978826956095406,0.006354369873559641,0.796404021358708,60+
148,0.00803992084268299,0.006403105575936116,0.7964140072054919,60+
149,0.008101478704905253,0.006452212636234081,0.7964240691427628,60+
150,0.008163504007691594,0.006501693846769883,0.7964342077426598,60+
151,0.008226000240944721,0.006551552020280555,0.7964444235815069,60+
152,0.008288970919706703,0.0066017899900642765,0.7964547172398422,60+
