period,haz_treated,haz_control,period_length_days,hr,hr_lo,hr_up,S_treated,S_control,delta_rmst_period_days
25,0.003717487510657957,0.00692292419148641,30,0.5369822646952576,0.5362534061533907,0.5375339218838053,0.8646405916543458,0.7456552908683978,3.51040451839562
26,0.003754183237681391,0.006990917102590782,30,0.537008690360542,0.5362808809444689,0.5375835678105098,0.8613945724385381,0.7404424765428286,3.5695590235784413
27,0.0037686766293397976,0.007017156777222043,30,0.5370660438388757,0.536305820314115,0.5376640165030574,0.8581482548447489,0.735246675600413,3.6285628768712863
28,0.0038177883912424953,0.0071077524180653915,30,0.5371301878128208,0.5363552117359733,0.5377523912905927,0.8548720263994376,0.7300207242640396,3.6870473773300763
29,0.003807741480289586,0.007089840975179126,30,0.5370700829003267,0.5362618858297594,0.5377329731512018,0.8516168947241772,0.7248449934204225,3.745539064061939
30,0.0037893086410615865,0.007055288330101159,30,0.5370877083640401,0.53626011466205,0.5377807333922764,0.8483898554661248,0.7197310029972112,3.8031570391126412
31,0.0037931588651245584,0.0070624651115558865,30,0.5370870942665672,0.5362607528946614,0.5377582182466086,0.8451717779647817,0.7146479278988382,3.8597655740674086
32,0.0038330796928861717,0.007136236569498703,30,0.5371290112871683,0.5362894431435036,0.5378079555610887,0.8419321671856644,0.70954803122145,3.915715501978304
33,0.0038243253133347045,0.007120467439547422,30,0.5370890809912585,0.5362125089165447,0.5378137904166168,0.8387123446865856,0.7044957175683427,3.9715240789264317
34,0.0037905200739849223,0.007058643069854452,30,0.537004072379464,0.5361245503570472,0.5377150542932299,0.8355331887077522,0.6995229337537868,4.026498813547287
35,0.0038054602444456873,0.007086074496156224,30,0.5370336208728718,0.53613637976221,0.5377684773755083,0.8323536003752099,0.6945660621334377,4.080307648618961
36,0.0037847133862864758,0.007049408152750818,30,0.5368838495767344,0.5360889050801397,0.5375881490714611,0.829203380561746,0.6896697824724103,4.133626147253164
37,0.0037971727279749196,0.007072257152426267,30,0.5369110096162482,0.5361063710021269,0.5376203685297584,0.8260547520991323,0.6847922604205074,4.186007942680073
38,0.0038558710134218143,0.007180856838398514,30,0.5369653093211864,0.5361451439501748,0.5376946263261919,0.8228695915250139,0.6798748652343845,4.237874750358745
39,0.003895523667968654,0.007253963026484442,30,0.5370200611370609,0.5361938363928546,0.5377504126514874,0.8196640835555765,0.6749430780993382,4.289841788718885
40,0.003939215644967825,0.007334813050447231,30,0.5370574025370198,0.5362238815111531,0.5377978455859858,0.8164352499740162,0.6699924968017861,4.34163016368715
