hpv_clean,CATE_3m,CATE_6m,CATE_12m,CATE_24m,CATE_60m,CATE_156m,group,ecog_ps,primary_site_group,t,n,m,smoking_status_clean,pathology_group,age_group,smoking_py_group
,-0.006316055226980655,-0.028765691133412343,-0.023345161871880873,-0.04548384593689151,-0.04636315781101286,-0.05553440496171019,t,,,T1,,,,,,
,-0.004415368527109996,-0.016959620077864206,0.1284922076168056,0.09584580649147466,0.012716949142234113,-0.013481578618774002,t,,,T1a,,,,,,
,-0.008570672044956783,-0.01437062661012334,0.06459002154957605,0.034007465464157165,-0.02848759525815854,-0.005213485299729491,t,,,T1b,,,,,,
,-0.006676357541158893,-0.030305500128186922,-0.025569240775003124,-0.05086042320069365,-0.055986747665815385,-0.05617792603533228,t,,,T2,,,,,,
,0.00010139936043884916,-0.00847538422905643,-0.04653983049563416,-0.04603376003788391,-0.016402820093475365,-0.08777974512766881,t,,,T2 (2),,,,,,
,-0.007321293669675496,-0.03552767916410113,-0.03998529430377103,-0.06581346543515502,-0.06823160876669258,-0.060226565891172965,t,,,T3,,,,,,
,-0.0011849959264583802,-0.05543608545754542,-0.08745910299239124,-0.12368680283876667,-0.11422089284545982,-0.1246543303815159,t,,,T3 (2),,,,,,
,-0.004460048231666621,-0.02045930020767056,-0.025729443275390607,-0.04677272249352946,-0.03069374146712808,-0.04977286526397656,t,,,T4,,,,,,
,-0.008889406053411021,-0.04358278435901955,-0.057458960157236505,-0.0843963314083487,-0.08638831659122512,-0.07678170777482828,t,,,T4a,,,,,,
,-0.009363088079141227,-0.05068185729695969,-0.071958474868804,-0.09820058263424589,-0.09648279886486555,-0.07179020490328247,t,,,T4b,,,,,,
,-0.005137412320802866,-0.015090474270313977,0.13197499210396624,0.10237149230272453,0.014152324842828369,6.620836539638165e-05,t,,,Tis,,,,,,
,-0.007050731135760489,-0.02349494322548058,0.024691902756520116,-0.005865950776733445,-0.040936505749083016,-0.03188284440744488,n,,,,N0,,,,,
,-0.006146483905107753,-0.02944635513793701,-0.03206600815223099,-0.055047308307143786,-0.05710159277288887,-0.05395237624859001,n,,,,N1,,,,,
,-0.0059001160244594245,-0.02247689471181677,-0.020712776880399825,-0.04109785372423086,-0.0172850533813303,-0.04470382823588412,n,,,,N2,,,,,
,-0.005991362565256296,-0.032328808754338564,-0.03132231822500243,-0.0550802353257528,-0.05346450485427495,-0.06847274694136303,n,,,,N2a,,,,,
,-0.005978111833751141,-0.03542263755157561,-0.04572459188974175,-0.06987287524224974,-0.0675013474558727,-0.07228452876736738,n,,,,N2b,,,,,
,-0.007858068465106673,-0.04381597593297644,-0.05617551150475735,-0.08073289466385804,-0.07551399521313214,-0.07624271495243108,n,,,,N2c,,,,,
,-0.012008319082954303,-0.04143196576396393,-0.05733990948629668,-0.08274196020231846,-0.08150573187567278,-0.07532389858555834,n,,,,N3,,,,,
,-0.009825158391274869,-0.015846130118913556,-0.005319299407528434,-0.01419812479753062,-0.0005970513136830814,-0.028398147520026465,n,,,,N3a,,,,,
,-0.005877128423716077,-0.023987167357429576,-0.035783529931782916,-0.05344873615450818,-0.036611806559857525,-0.0487190465165092,n,,,,N3b,,,,,
,-0.0007577244243403779,-0.004319459136691341,0.03821657579068518,0.027332938124434804,0.03834103311854038,-0.01611594677403066,n,,,,NX,,,,,
,-0.006974146567138435,-0.03127862187266731,-0.01984807212116823,-0.04591946912723908,-0.055318930718743886,-0.055228211060980664,m,,,,,M0,,,,
,0.0009381921906451052,-0.06057928638431885,-0.11454801609027636,-0.19372604215288824,-0.14609133085814546,-0.1306001221057256,m,,,,,M1,,,,
,0.002670573016804763,-0.028015479995849198,0.051820217510786165,0.1425778983217695,0.05349119532665657,0.26774346200528615,m,,,,,MX,,,,
,-0.011530024548729112,-0.045585901938294905,-0.04167969825100128,-0.0722539669801673,-0.06837092142104205,-0.08672663016628315,smoking_status_clean,,,,,,Current,,,
,-0.005597559436903411,-0.028007678569605687,-0.004473899489156025,-0.02714818886173007,-0.04307067551139967,-0.03464976913766427,smoking_status_clean,,,,,,Ex-Smoker,,,
,-0.0027316779735574747,-0.016097760927515272,-0.00844272472477711,-0.03231076585324091,-0.053586868734036376,-0.03891279765555525,smoking_status_clean,,,,,,Non-Smoker,,,
,-0.007840430836584832,-0.020678195926217988,0.024516254305084348,-0.014760385222371379,-0.02963564965980385,-0.041873566184622596,smoking_status_clean,,,,,,Unknown,,,
,-0.005191599945211504,-0.019408140392153782,-0.018025574915020062,-0.03654234111368325,-0.021442910774774965,-0.03957698997308672,pathology_group,,,,,,,NPC,,
